,Timestamp,High,Low,Open,Close,Volume,Score
0,1577836800,7254.330566,7174.944336,7194.89209,7200.174316,18565664997.0,0.0
1,1577923200,7212.155273,6935.27002,7202.55127,6985.470215,20802083465.0,0.131156153
2,1578009600,7413.715332,6914.996094,6984.428711,7344.884277,28111481032.0,0.103209859
3,1578096000,7427.385742,7309.51416,7345.375488,7410.656738,18444271275.0,0.0
4,1578182400,7544.49707,7400.535645,7410.45166,7411.317383,19725074095.0,0.0
5,1578268800,7781.867188,7409.292969,7410.452148,7769.219238,23276261598.0,0.0
6,1578355200,8178.21582,7768.227539,7768.682129,8163.692383,28767291327.0,0.224775469
7,1578441600,8396.738281,7956.774414,8161.935547,8079.862793,31672559265.0,0.117875105
8,1578528000,8082.295898,7842.403809,8082.295898,7879.071289,24045990466.0,-0.039930559
9,1578614400,8166.554199,7726.774902,7878.307617,8166.554199,28714583844.0,0.106931217
10,1578700800,8218.359375,8029.64209,8162.190918,8037.537598,25521165085.0,0.0
11,1578787200,8200.063477,8009.059082,8033.261719,8192.494141,22903438381.0,0.165537924
12,1578873600,8197.788086,8079.700684,8189.771973,8144.194336,22482910688.0,0.084009274
13,1578960000,8879.511719,8140.933105,8140.933105,8827.764648,44841784107.0,0.175277062
14,1579046400,8890.117188,8657.1875,8825.34375,8807.010742,40102834650.0,0.018655835
15,1579132800,8846.460938,8612.095703,8812.481445,8723.786133,31313981931.0,0.208300464
16,1579219200,8958.12207,8677.316406,8725.209961,8929.038086,36372139320.0,0.033035833
17,1579305600,9012.198242,8827.332031,8927.211914,8942.808594,32337772627.0,0.0
18,1579392000,9164.362305,8620.080078,8941.445313,8706.245117,34217320471.0,0.657611191
19,1579478400,8745.59082,8560.473633,8704.631836,8657.642578,26422375678.0,0.18574701
20,1579564800,8755.706055,8544.520508,8658.991211,8745.894531,24097418512.0,0.216030912
21,1579651200,8792.994141,8636.74707,8744.210938,8680.875977,22600204051.0,0.036553191
22,1579737600,8687.74707,8333.637695,8680.650391,8406.515625,25770680779.0,0.004334947
23,1579824000,8514.666992,8266.84082,8405.567383,8445.43457,24397913026.0,0.0
24,1579910400,8458.453125,8296.21875,8440.119141,8367.847656,19647331549.0,0.0
25,1579996800,8602.401367,8325.498047,8364.410156,8596.830078,22177678796.0,-0.161939042
26,1580083200,8977.726563,8597.308594,8597.308594,8909.819336,28647338393.0,0.08482584
27,1580169600,9358.589844,8908.447266,8912.524414,9358.589844,34398744403.0,0.059662414
28,1580256000,9406.431641,9269.467773,9357.470703,9316.629883,30682598115.0,-0.073228359
