,Open,High,Low,Close,Volume,Timestamp
0,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997.0,1577836800
1,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465.0,1577923200
2,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032.0,1578009600
3,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275.0,1578096000
4,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095.0,1578182400
5,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598.0,1578268800
6,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327.0,1578355200
7,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265.0,1578441600
8,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466.0,1578528000
9,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844.0,1578614400
10,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085.0,1578700800
11,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381.0,1578787200
12,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688.0,1578873600
13,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107.0,1578960000
14,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650.0,1579046400
15,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931.0,1579132800
16,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320.0,1579219200
17,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,32337772627.0,1579305600
18,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,34217320471.0,1579392000
19,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,26422375678.0,1579478400
20,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,24097418512.0,1579564800
21,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,22600204051.0,1579651200
22,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,25770680779.0,1579737600
23,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,24397913026.0,1579824000
24,8440.119140625,8458.453125,8296.21875,8367.84765625,19647331549.0,1579910400
25,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,22177678796.0,1579996800
26,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,28647338393.0,1580083200
27,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,34398744403.0,1580169600
28,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,30682598115.0,1580256000
29,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,32378792851.0,1580342400
30,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,29432489719.0,1580428800
31,9346.357421875,9439.3232421875,9313.2392578125,9392.875,25922656496.0,1580515200
32,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,30835736946.0,1580601600
33,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,30934096509.0,1580688000
34,9292.841796875,9331.265625,9112.8115234375,9180.962890625,29893183716.0,1580774400
35,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,35222060874.0,1580860800
36,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,37628823716.0,1580947200
37,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,34522718159.0,1581033600
38,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,35172043762.0,1581120000
39,9863.89453125,10129.435546875,9850.392578125,10116.673828125,35807884663.0,1581206400
40,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,39386548075.0,1581292800
41,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,37648059389.0,1581379200
